trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-101.50413774518438,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,20,7.10478078134271,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-78.57501116371253,"{0: 17, 1: 9, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,13,6.682623084077868,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.26797321417433,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-248.58625950361204,"{0: 8, 1: 1, 2: 5, 3: 2, 4: 4}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-109.65096344218719,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.85618235856926,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.73844345610875,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,12,-27.87686229093837,"{0: 4, 1: 1, 2: 3, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-159.5430457942712,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-190.99208268537777,"{0: 11, 1: 3, 2: 8, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.71912020349208,"{0: 7, 1: 7, 2: 4, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-32.260829924941355,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-54.61656334222838,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-59.696147302801144,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-94.75131039980475,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-170.12279878801402,"{0: 14, 1: 8, 2: 4, 3: 3, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",35,8,-76.52486908891802,"{0: 19, 1: 2, 2: 5, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.78246527056342,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-88.80174884560074,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-136.21256143401854,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-92.6700995386422,"{0: 11, 1: 6, 2: 8, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-116.2051010291002,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-31.64512540135202,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-51.86480374832044,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",1
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-164.76951020792083,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-67.52856834607832,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-137.7829850615088,"{0: 9, 1: 5, 2: 4, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-196.51638766214344,"{0: 11, 1: 5, 2: 6, 3: 0, 4: 3}",0
