trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.9990004998333749}",25,0,-101.72016581743996,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.9, 'e': 0.9980019986673331}",30,19,-75.44399616521389,"{0: 6, 1: 1, 2: 2, 3: 1, 4: 1}",1
3,False,"{'a': 0.9, 'e': 0.9970044955033729}",20,0,-95.14491445802918,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.9, 'e': 0.9960079893439915}",30,0,-101.32132097182192,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.9, 'e': 0.9950124791926824}",25,0,-88.16243176646222,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
6,False,"{'a': 0.9, 'e': 0.9940179640539352}",20,0,-124.43929131296616,"{0: 9, 1: 5, 2: 3, 3: 2, 4: 1}",0
7,False,"{'a': 0.9, 'e': 0.9930244429332351}",25,13,-54.13640035103972,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
8,False,"{'a': 0.9, 'e': 0.9920319148370605}",30,0,-111.71158002177505,"{0: 17, 1: 5, 2: 6, 3: 2, 4: 0}",0
9,False,"{'a': 0.9, 'e': 0.9910403787728836}",20,0,-65.7240024039871,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.9, 'e': 0.9900498337491681}",25,0,-130.30176883551303,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
11,False,"{'a': 0.9, 'e': 0.9890602787753688}",30,0,-128.32999518261488,"{0: 19, 1: 3, 2: 5, 3: 2, 4: 1}",0
12,False,"{'a': 0.9, 'e': 0.9880717128619305}",20,0,-16.181425677927635,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.9, 'e': 0.9870841350202876}",20,0,-121.55951090151214,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.9, 'e': 0.986097544262862}",20,0,-120.05018636610949,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.9, 'e': 0.9851119396030628}",30,0,-272.8270484603701,"{0: 15, 1: 1, 2: 7, 3: 3, 4: 4}",0
16,False,"{'a': 0.9, 'e': 0.984127320055285}",20,0,-141.04092652043045,"{0: 8, 1: 4, 2: 5, 3: 2, 4: 1}",0
17,False,"{'a': 0.9, 'e': 0.9831436846349096}",20,0,-154.8378844139399,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
18,False,"{'a': 0.9, 'e': 0.9821610323583008}",20,0,-197.24226506086237,"{0: 9, 1: 0, 2: 7, 3: 1, 4: 3}",0
19,False,"{'a': 0.9, 'e': 0.9811793622428059}",30,0,-197.54067350008953,"{0: 17, 1: 3, 2: 4, 3: 4, 4: 2}",0
20,False,"{'a': 0.9, 'e': 0.9801986733067554}",20,0,-85.98577238237174,"{0: 14, 1: 3, 2: 0, 3: 2, 4: 1}",0
21,False,"{'a': 0.9, 'e': 0.9792189645694597}",20,0,-189.06428191322212,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
22,False,"{'a': 0.9, 'e': 0.97824023505121}",20,0,-52.65458675079059,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
