trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.9990004998333749}",20,1,-68.21388819650663,"{0: 12, 1: 5, 2: 1, 3: 0, 4: 1}",1
2,False,"{'a': 0.2, 'e': 0.9980019986673331}",20,0,-193.15872706152027,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 4}",0
3,False,"{'a': 0.2, 'e': 0.9970044955033729}",25,0,-37.729623020331914,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.2, 'e': 0.9960079893439915}",20,0,-211.0943719691542,"{0: 5, 1: 1, 2: 11, 3: 1, 4: 2}",0
5,False,"{'a': 0.2, 'e': 0.9950124791926824}",20,0,-91.82809315790182,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.2, 'e': 0.9940179640539352}",20,0,-44.8378601494115,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
7,False,"{'a': 0.2, 'e': 0.9930244429332351}",30,0,-260.4492004801723,"{0: 14, 1: 3, 2: 8, 3: 1, 4: 4}",0
8,False,"{'a': 0.2, 'e': 0.9920319148370605}",20,0,-86.18067805465665,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.2, 'e': 0.9910403787728836}",20,9,-88.81932999535631,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 2}",1
10,False,"{'a': 0.2, 'e': 0.9900498337491681}",25,0,-126.57532460783553,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
11,False,"{'a': 0.2, 'e': 0.9890602787753688}",25,0,-223.99229587687392,"{0: 12, 1: 4, 2: 2, 3: 4, 4: 3}",0
12,False,"{'a': 0.2, 'e': 0.9880717128619305}",25,2,-135.08122158892635,"{0: 13, 1: 4, 2: 3, 3: 1, 4: 2}",1
13,False,"{'a': 0.2, 'e': 0.9870841350202876}",25,0,-76.81407377632145,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
14,False,"{'a': 0.2, 'e': 0.986097544262862}",30,0,-116.4485911368373,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.2, 'e': 0.9851119396030628}",30,0,-182.48586574570976,"{0: 18, 1: 1, 2: 8, 3: 0, 4: 3}",0
16,False,"{'a': 0.2, 'e': 0.984127320055285}",20,7,-33.232332173398504,"{0: 6, 1: 5, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.2, 'e': 0.9831436846349096}",20,0,-62.26502779248857,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
18,False,"{'a': 0.2, 'e': 0.9821610323583008}",20,0,-91.01610323093746,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
19,False,"{'a': 0.2, 'e': 0.9811793622428059}",25,0,-35.78102406051638,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
20,False,"{'a': 0.2, 'e': 0.9801986733067554}",25,0,-124.96572309718815,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
21,False,"{'a': 0.2, 'e': 0.9792189645694597}",30,0,-186.97081619438129,"{0: 17, 1: 3, 2: 7, 3: 0, 4: 3}",0
22,False,"{'a': 0.2, 'e': 0.97824023505121}",25,0,-119.00396198725309,"{0: 12, 1: 3, 2: 8, 3: 2, 4: 0}",0
23,False,"{'a': 0.2, 'e': 0.977262483773277}",20,0,-92.71069489732196,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
24,False,"{'a': 0.2, 'e': 0.9762857097579093}",20,0,-29.3540939104873,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
25,False,"{'a': 0.2, 'e': 0.9753099120283326}",20,0,-160.7782481198561,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
26,False,"{'a': 0.2, 'e': 0.9743350896087494}",30,0,-75.11518357931779,"{0: 21, 1: 2, 2: 5, 3: 2, 4: 0}",0
27,False,"{'a': 0.2, 'e': 0.9733612415243368}",25,10,-17.278791104854733,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
28,False,"{'a': 0.2, 'e': 0.9723883668012469}",20,0,-129.0168446250106,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
29,False,"{'a': 0.2, 'e': 0.9714164644666049}",30,0,-215.26661778553344,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 5}",0
30,False,"{'a': 0.2, 'e': 0.9704455335485082}",20,0,-191.7454402671412,"{0: 7, 1: 3, 2: 6, 3: 2, 4: 2}",0
31,False,"{'a': 0.2, 'e': 0.9694755730760259}",25,0,-77.54740445304785,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
32,False,"{'a': 0.2, 'e': 0.9685065820791977}",25,0,-230.16158458852502,"{0: 11, 1: 2, 2: 7, 3: 2, 4: 3}",0
33,False,"{'a': 0.2, 'e': 0.9675385595890319}",30,0,-224.08934599227484,"{0: 15, 1: 2, 2: 9, 3: 1, 4: 3}",0
34,False,"{'a': 0.2, 'e': 0.9665715046375066}",20,0,-124.48751248957122,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
35,False,"{'a': 0.2, 'e': 0.9656054162575665}",20,0,-105.4325496126399,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
36,False,"{'a': 0.2, 'e': 0.9646402934831231}",25,0,-103.3348998286736,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
37,False,"{'a': 0.2, 'e': 0.9636761353490534}",25,0,-171.202702272126,"{0: 15, 1: 1, 2: 3, 3: 4, 4: 2}",0
38,False,"{'a': 0.2, 'e': 0.9627129408911996}",20,0,-193.9392675663063,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 4}",0
39,False,"{'a': 0.2, 'e': 0.9617507091463667}",25,0,-90.0474534067393,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
40,False,"{'a': 0.2, 'e': 0.9607894391523232}",20,0,-68.9460711560922,"{0: 14, 1: 1, 2: 2, 3: 3, 4: 0}",0
41,False,"{'a': 0.2, 'e': 0.959829129947799}",20,0,-160.54019956903377,"{0: 11, 1: 0, 2: 5, 3: 2, 4: 2}",0
42,False,"{'a': 0.2, 'e': 0.9588697805724845}",25,0,-129.77209287741553,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
43,False,"{'a': 0.2, 'e': 0.9579113900670306}",30,0,-120.99104026342242,"{0: 21, 1: 4, 2: 2, 3: 1, 4: 2}",0
44,False,"{'a': 0.2, 'e': 0.9569539574730467}",20,0,-87.43684064644074,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
45,False,"{'a': 0.2, 'e': 0.9559974818331}",20,0,-81.85135494853942,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
46,False,"{'a': 0.2, 'e': 0.9550419621907146}",25,0,-78.89400507636086,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
47,False,"{'a': 0.2, 'e': 0.9540873975903711}",20,0,-171.69380263774056,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
48,False,"{'a': 0.2, 'e': 0.9531337870775046}",20,0,-70.4354566592897,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
49,False,"{'a': 0.2, 'e': 0.9521811296985049}",20,0,-147.39305362067023,"{0: 10, 1: 5, 2: 1, 3: 2, 4: 2}",0
50,False,"{'a': 0.2, 'e': 0.9512294245007139}",25,0,-44.994932736031345,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
51,False,"{'a': 0.2, 'e': 0.950278670532427}",20,0,-67.71796024142395,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
52,False,"{'a': 0.2, 'e': 0.9493288668428896}",20,4,-27.114048539978338,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 0}",1
53,False,"{'a': 0.2, 'e': 0.9483800124822981}",20,0,-117.16260167445587,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
54,False,"{'a': 0.2, 'e': 0.9474321065017982}",30,16,-34.074164940820076,"{0: 9, 1: 3, 2: 1, 3: 1, 4: 0}",1
55,False,"{'a': 0.2, 'e': 0.9464851479534838}",20,0,-134.9872332184134,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
56,False,"{'a': 0.2, 'e': 0.9455391358903963}",20,0,-137.27377555906452,"{0: 9, 1: 4, 2: 3, 3: 3, 4: 1}",0
57,False,"{'a': 0.2, 'e': 0.9445940693665232}",20,0,-75.56763632892694,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
58,False,"{'a': 0.2, 'e': 0.9436499474367984}",20,0,-135.5980567825971,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
59,False,"{'a': 0.2, 'e': 0.9427067691570998}",30,0,-99.68703314554988,"{0: 18, 1: 6, 2: 5, 3: 0, 4: 1}",0
60,False,"{'a': 0.2, 'e': 0.9417645335842487}",20,0,-43.91387329146217,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
61,False,"{'a': 0.2, 'e': 0.9408232397760098}",30,0,-156.87969138184056,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
62,False,"{'a': 0.2, 'e': 0.9398828867910889}",20,0,-48.995639342996036,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
63,False,"{'a': 0.2, 'e': 0.9389434736891333}",25,8,-91.8308012314752,"{0: 12, 1: 2, 2: 0, 3: 1, 4: 2}",1
64,False,"{'a': 0.2, 'e': 0.9380049995307296}",20,0,-126.34461829024104,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
65,False,"{'a': 0.2, 'e': 0.9370674633774034}",20,0,-157.1369572709106,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
66,False,"{'a': 0.2, 'e': 0.9361308642916188}",30,8,-144.1361333379057,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 2}",1
67,False,"{'a': 0.2, 'e': 0.9351952013367765}",20,0,-119.10580898218274,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
68,False,"{'a': 0.2, 'e': 0.9342604735772135}",20,0,-95.15288698651985,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
