trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.26511843529207,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-168.04818845113448,"{0: 8, 1: 2, 2: 7, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-206.028214675572,"{0: 10, 1: 3, 2: 2, 3: 1, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,5,-150.9944784015524,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",1
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-92.79379060440979,"{0: 18, 1: 7, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,14,-53.18594245931686,"{0: 5, 1: 2, 2: 3, 3: 1, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-153.31781061050842,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-141.53669640550595,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,2,-134.90870302874572,"{0: 9, 1: 0, 2: 5, 3: 3, 4: 1}",1
10,False,"{'a': 0.5, 'e': 1.0}",20,6,-41.22295566965548,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-72.46199958638243,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.37407324557506,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.43190940429055,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-166.507183666593,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-104.21613809585983,"{0: 21, 1: 1, 2: 5, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,15,-30.967080943844344,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.13293593643009,"{0: 11, 1: 2, 2: 4, 3: 3, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,4,-132.66134502390133,"{0: 17, 1: 3, 2: 2, 3: 2, 4: 2}",1
19,False,"{'a': 0.5, 'e': 1.0}",35,0,-129.87500905572733,"{0: 19, 1: 9, 2: 5, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-140.96739131641007,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-252.74355013951603,"{0: 12, 1: 4, 2: 9, 3: 2, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-168.4168763118476,"{0: 13, 1: 5, 2: 4, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-196.46361029480548,"{0: 16, 1: 4, 2: 5, 3: 3, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,7,-50.27047841557776,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 0}",1
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-112.4447273305653,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-175.50395488077356,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-118.91621601389086,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-205.85840659193678,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 4}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-168.07519781935972,"{0: 12, 1: 4, 2: 4, 3: 4, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-195.59821997327376,"{0: 7, 1: 3, 2: 7, 3: 0, 4: 3}",0
